"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"3D printing technician","3d-printing-technician","Published","3122D","3D printing technician","http://data.europa.eu/esco/occupation/4cf7be91-fed9-47a7-9ca9-e74c7eb6becb","good match",
"Accommodation warden","accommodation-warden","Published","6144A","accommodation manager","http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae","good match",
"Accounting technician","accounting-technician","Published","3537A","accountant","http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897","partial match","ESCO title is higher level than technician"
"Acoustics consultant","acoustics-consultant","Published","2129A","acoustical engineer","http://data.europa.eu/esco/occupation/b065b637-5cb5-44d9-8c39-08004b51734e","good match",
"Actor","actor","Published","3413B","actor/actress","http://data.europa.eu/esco/occupation/26171f39-e85a-448f-bd28-a73a5a99927f","good match",
"Actuary","actuary","Published","2425A","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","good match",
"Acupuncturist","acupuncturist","Published","2229C","acupuncturist","http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7","good match",
"Admin assistant","admin-assistant","Published","4159B","administrative assistant","http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652","good match",
"Advertising account executive","advertising-account-executive","Published","3543B","advertising manager","http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432","good match",
"Advertising account planner","advertising-account-planner","Published","3543J","advertising specialist","http://data.europa.eu/esco/occupation/e01719f4-d7dd-42fe-b504-93128520f84a","good match",
"Advertising art director","advertising-art-director","Published","2473A","art director","http://data.europa.eu/esco/occupation/cb93fd23-1f51-4495-867a-936c1967066b","good match",
"Advertising copywriter","advertising-copywriter","Published","3543C","advertising copywriter","http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b","good match",
"Advertising media buyer","advertising-media-buyer","Published","3541A","advertising media buyer","http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e","good match",
"Advertising media planner","advertising-media-planner","Published","3543D","advertising media planner","http://data.europa.eu/esco/occupation/b55718eb-e8ff-4485-8ad0-bbac32cbd77b","good match",
"Aerospace engineer","aerospace-engineer","Published","2122B","aerospace engineer","http://data.europa.eu/esco/occupation/d7e663b2-f042-47d8-9fda-b5b8ba30ca04","good match",
"Aerospace engineering technician","aerospace-engineering-technician","Published","3113A","aerospace engineering technician","http://data.europa.eu/esco/occupation/05a55bb3-68d6-4ff0-83fd-46a68a45a598","good match",
"Agricultural contractor","agricultural-contractor","Published","5111A","crop production worker
horticulture worker","http://data.europa.eu/esco/occupation/c9191f7f-28b5-4df8-991d-804c53009b83
http://data.europa.eu/esco/occupation/1a9d99ba-4c08-4864-8f6a-1b0f2b4cf883
http://data.europa.eu/esco/occupation/1a9d99ba-4c08-4864-8f6a-1b0f2b4cf883","2 ESCO options","crop production worker is OK for crops side but Livestock worker would be needed for the animal husbandry side http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791 or are we able to use broad category (but no skills listed) http://data.europa.eu/esco/isco/C9213 - Mixed crop and livestock farm labourers"
"Agricultural engineer","agricultural-engineer","Published","2129B","agricultural engineer","http://data.europa.eu/esco/occupation/4d5bd738-9202-4fd7-bd8c-7dbe914048de","good match",
"Agricultural engineering technician","agricultural-engineering-technician","Published","3113B","agricultural machinery technician","http://data.europa.eu/esco/occupation/f7145f87-5940-43f5-bc98-aa1a2b872b47","good match",
"Agricultural inspector","agricultural-inspector","Published","3565A","agricultural inspector","http://data.europa.eu/esco/occupation/715b902f-b1b6-4366-afc6-ddb8ab715229","good match",
"Agronomist","agronomist","Published","2112O","agronomist","http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2","good match",
"Aid worker","aid-worker","Published","3239J","emergency response coordinator","http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58","good match","ESCO title is slightly different from Aid worker role but they do list it in their alt title labels"
"Air accident investigator","air-accident-investigator","Published","3565F","aviation inspector","http://data.europa.eu/esco/occupation/b0473a10-e3de-480c-a841-171f2356a074","good match",
"Air traffic controller","air-traffic-controller","Published","3511A","air traffic controller","http://data.europa.eu/esco/occupation/3c2da05f-eb24-41f7-8307-46c96660fee0","good match",
"Airline customer service agent","airline-customer-service-agent","Published","6214B","airport baggage handler","http://data.europa.eu/esco/occupation/3d974e0c-8ed9-47a7-aec2-ebdb34391c87","replace","replace with partial match http://data.europa.eu/esco/occupation/7153a12d-85e0-4123-87e9-46bb1a2dc929 Ground steward and ground stewardess"
"Airline pilot","airline-pilot","Published","3512A","aircraft pilot","http://data.europa.eu/esco/occupation/9a4ba556-e72b-49c2-834c-d6a03a2fc906","good match",
"Airport baggage handler","airport-baggage-handler","Published","8233A","airport baggage handler","http://data.europa.eu/esco/occupation/3d974e0c-8ed9-47a7-aec2-ebdb34391c87","good match",
"Airport information assistant","airport-information-assistant","Published","6214C","tourist information officer","http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19","partial match","some skills on ESCO are relvant but others not so much"
"Alexander Technique teacher","alexander-technique-teacher","Published","3219D","physiotherapist
complementary therapist","http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421","good match","Probably use complimentary therapist as AT mentioned in alt titles - Also, AT should be capitalised"
"Ambulance care assistant","ambulance-care-assistant","Published","6142A","patient transport services driver","http://data.europa.eu/esco/occupation/976f752c-5f10-42ca-84fb-89aa529af04f","good match",
"Anaesthetist","anaesthetist","Published","2211C","specialised doctor
anaesthetic technician","http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac
http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b
http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b","decision req","more descriptive skills under technician even though lower level role but if job desc to be used then it talks about technician not qualified doctor which is what they are"
"Analytical textile technologist","analytical-textile-technologist","Published","2129C","textile technologist","http://data.europa.eu/esco/occupation/85acc7e9-1fac-4e91-962b-8b8031f39487","good match",
"Anatomical pathology technician","anatomical-pathology-technician","Published","3218B","anatomical pathology technician","http://data.europa.eu/esco/occupation/4a5b3686-eea4-4ba0-b446-33f7b6a95aed","good match",
"Animal care worker","animal-care-worker","Published","6139B","animal care attendant","http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc","good match",
"Animal technician","animal-technician","Published","6139C","animal care attendant","http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc","good match",
"Animator","animator","Published","3411A","animator","http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e","good match",
"Antique Dealer","antique-dealer","Published","1254A","specialised antique dealer","http://data.europa.eu/esco/occupation/f8304b4c-1220-4979-b2dd-47d2a2f0734a","good match",
"App developer","app-developer","Published","2135D","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","2 ESCO options","ESCO also has ICT app developer http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7 - which one should we use or can we use both?"
"Arboricultural officer","arboricultural-officer","Published","5119A","arboriculturist","http://data.europa.eu/esco/occupation/b865693a-eb11-44cc-bf6c-38e5b4d7e169","good match",
"Archaeologist","archaeologist","Published","2114A","archaeologist","http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3","good match",
"Architect","architect","Published","2431A","architect","http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b","good match",
"Architectural technician","architectural-technician","Published","3121A","architectural drafter","http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a","good match",
"Architectural technologist","architectural-technologist","Published","2435A","architectural drafter","http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a","decision req","ESCO has construction engineer which is slightly closer to jp though not ideal http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b - architectural drafter little too low for arch technologist role"
"Archivist","archivist","Published","2452A","archivist","http://data.europa.eu/esco/occupation/e3b08984-19fe-4d51-a1b0-990676fc7234","good match",
"Army officer","army-officer","Published","1171A","armed forces officer","http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d","good match",
"Aromatherapist","aromatherapist","Published","3219A","aromatherapist","http://data.europa.eu/esco/occupation/754c349d-67d5-48e5-81c1-e84d2fab59d0","good match",
"Art editor","art-editor","Published","2471A","picture editor","http://data.europa.eu/esco/occupation/72add02e-ae39-4dfb-8047-ced4c1a347f5","good match",
"Art gallery curator","art-gallery-curator","Published","2452B","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7","decision req","poss collection manager http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486"
"Art therapist","art-therapist","Published","2229D","art therapist","http://data.europa.eu/esco/occupation/eb48ccbd-75f2-4799-81be-443034858473","good match",
"Art valuer","art-valuer","Published","3531A","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7","decision req","poss exh registrar http://data.europa.eu/esco/occupation/8f324afc-6ae8-48f5-af68-0fac08024fd1"
"Arts administrator","arts-administrator","Published","2429D","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c8","decision req","poss admin assistant http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652"
"Assistance dog trainer","assistance-dog-trainer","Published","6139D","dog trainer
guide dog trainer","http://data.europa.eu/esco/occupation/2662ed6c-a705-4895-8e9d-0a85c08ad908
http://data.europa.eu/esco/occupation/65a9366c-d4d3-484d-a577-c63d335987da
http://data.europa.eu/esco/occupation/65a9366c-d4d3-484d-a577-c63d335987da","good match","go with dog trainer as assistance dog trainer is one of the alt labels"
"Assistant immigration officer","assistant-immigration-officer","Published","3319B","immigration officer
customs officer","http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d
http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d
http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d","good match","go with immigration office as customes officer more suitable for Border Force office jp"
"Astronaut","astronaut","Published","2113A","astronaut","http://data.europa.eu/esco/occupation/d4edb527-2e5d-440c-9f8c-cd5caa9cc4d6","good match",
"Astronomer","astronomer","Published","2113B","astronomer","http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b","good match",
"Athlete","athlete","Published","3441E","professional athlete","http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90","good match",
"Audiologist","audiologist","Published","2219A","audiologist","http://data.europa.eu/esco/occupation/c4d6d07a-ae90-40ce-bc5a-c952805a9bf3","good match",
"Audio-visual technician","audio-visual-technician","Published","3417D","audio-visual technician","http://data.europa.eu/esco/occupation/7642cbcc-9839-47fb-b2cf-d4bb831d6c93","good match",
"Auditor","auditor","Published","2421A","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","good match",
"Auto electrician","auto-electrician","Published","5231B","vehicle electronics installer","http://data.europa.eu/esco/occupation/ecdc43f5-3b32-4f94-abf8-cd46480c8cb8","replace","ESCO automotive electrician http://data.europa.eu/esco/occupation/6656337f-67eb-4f48-b1e4-ecccdfa44dd2 as installer does not incl this role as stated on installer page "
"Automotive engineer","automotive-engineer","Published","2122C","automotive engineer","http://data.europa.eu/esco/occupation/8d410283-865d-4cbb-acae-ac7f69d9cf26","good match",
"Bailiff","bailiff","Published","9249A","court enforcement officer","http://data.europa.eu/esco/occupation/b471350e-23ce-4789-a821-5500b28cffe1","good match",
"Baker","baker","Published","5432A","baker","http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419","good match",
"Bank manager","bank-manager","Published","1150A","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","good match",
"Banking customer service adviser","banking-customer-service-adviser","Published","4123A","bank teller","http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089","good match",
"Bar person","bar-person","Published","9274A","bartender","http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140","good match",
