"Major","Sub","Minor","Unit","Title"
,,,,
"1",,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS"
,,,,
,"11",,,"CORPORATE MANAGERS AND DIRECTORS"
,,,,
,,"111",,"Chief Executives and Senior Officials"
,,,,
,,,"1115","Chief executives and senior officials"
,,,"1116","Elected officers and representatives"
,,,,
,,"112",,"Production Managers and Directors"
,,,,
,,,"1121","Production managers and directors in manufacturing"
,,,"1122","Production managers and directors in construction"
,,,"1123","Production managers and directors in mining and energy"
,,,,
,,"113",,"Functional Managers and Directors"
,,,,
,,,"1131","Financial managers and directors"
,,,"1132","Marketing and sales directors"
,,,"1133","Purchasing managers and directors"
,,,"1134","Advertising and public relations directors"
,,,"1135","Human resource managers and directors"
,,,"1136","Information technology and telecommunications directors"
,,,"1139","Functional managers and directors n.e.c."
,,,,
,,"115",,"Financial Institution Managers and Directors"
,,,,
,,,"1150","Financial institution managers and directors"
,,,,
,,"116",,"Managers and Directors in Transport and Logistics"
,,,,
,,,"1161","Managers and directors in transport and distribution"
,,,"1162","Managers and directors in storage and warehousing"
,,,,
,,"117",,"Senior Officers in Protective Services"
,,,,
,,,"1171","Officers in armed forces"
,,,"1172","Senior police officers"
,,,"1173","Senior officers in fire, ambulance, prison and related services"
,,,,
,,"118",,"Health and Social Services Managers and Directors"
,,,,
,,,"1181","Health services and public health managers and directors"
,,,"1184","Social services managers and directors"
,,,,
,,"119",,"Managers and Directors in Retail and Wholesale"
,,,,
,,,"1190","Managers and directors in retail and wholesale"
,,,,
,"12",,,"OTHER MANAGERS AND PROPRIETORS"
,,,,
,,"121",,"Managers and Proprietors in Agriculture Related Services"
,,,,
,,,"1211","Managers and proprietors in agriculture and horticulture"
,,,"1213","Managers and proprietors in forestry, fishing and related services"
,,,,
,,"122",,"Managers and Proprietors in Hospitality and Leisure Services"
,,,,
,,,"1221","Hotel and accommodation managers and proprietors"
,,,"1223","Restaurant and catering establishment managers and proprietors"
,,,"1224","Publicans and managers of licensed premises"
,,,"1225","Leisure and sports managers"
,,,"1226","Travel agency managers and proprietors"
,,,,
,,"124",,"Managers and Proprietors in Health and Care Services"
,,,,
,,,"1241","Health care practice managers"
,,,"1242","Residential, day and domiciliary  care managers and proprietors"
,,,,
,,"125",,"Managers and Proprietors in Other Services"
,,,,
,,,"1251","Property, housing and estate managers"
,,,"1252","Garage managers and proprietors"
,,,"1253","Hairdressing and beauty salon managers and proprietors"
,,,"1254","Shopkeepers and proprietors – wholesale and retail"
,,,"1255","Waste disposal and environmental services managers"
